stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,2.25,0,0,0,0,0,0.28,0.28,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0,0,1.11,0,0
3Month,0,0.1,0.83,0,0.1,0,2.5,0.31,0.42,0.1,0.21,0.1,0.31,0.1,0,0,0,0,0.1,0.1,4.37,0,0,0.73,0.31
22Month,0.14,0.14,0,0.27,1.09,0.27,9.43,0.14,1.5,0,0,0.41,0.55,0,0.14,0,0,0.14,0,0.14,2.46,0,0,0,0.14
