stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,1,0,0,0,1,0,0
72hpf,0,0,0,0,0,0.28,0.56,0,0,0,0,0,0,0
21Day,0,0.37,0,0,0.37,0.37,0.37,0,0,0,0.37,0,0.37,0
3Month,0,0.52,0.1,0.42,0.73,0,0,0,0.1,2.5,0,0,1.98,0.1
22Month,0,0,0,0.55,0,0.14,0.14,0,0,0,0,0,0,0
