stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0
72hpf,0.28,0.28,0.56,0,0,0,0,0,0,0.56,0,0,35.79,3.1,0,0.28,0,0.56,0,0,0
21Day,0.37,0.74,1.11,0,0,0.37,0,0,0,0,0.74,0,19.24,1.48,0.37,0.37,0,0.74,0.37,0,0
3Month,0,0.21,0,0.1,0.1,0,0.31,0,0.1,0.1,0,0,0.1,0,0,0,0.1,0,0,0,0
22Month,0,0.14,0,0,0,0,1.78,0.14,0.55,0,0.14,0.14,0,0,0,0,0,0,0,0.14,0.14
