stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0.28,0,0,0,0,0,0,0,0,0.28,0.56,0.56,0,0,0.85,0.56,0.28,0,0.85,0,0,0,0,0,0
21Day,0,1.85,0,0,0,0,0,0,0.37,1.11,0,1.11,0.37,0.37,0,0.74,2.22,0,0,0,0,0.74,0,0,0,0,0.37
3Month,0.31,1.14,0,0,0.1,0.42,0,1.04,0.73,0,0.1,0.31,1.04,0.52,0.1,0,0,0,0.21,0.1,0,0,0.1,0,0.52,0.31,2.29
22Month,0.55,0.41,0,0.14,0.41,0.68,0.68,3.55,0.14,0.27,0.41,0.14,1.23,0.82,0,0,0.14,0,0.14,0,0,0.27,0.14,0.14,0,0,0.82
