stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,1.41,0.28,0,0,0,0,0,0,0,0,3.1,0,0,0,1.13,1.69,0,7.33,0,0,2.25,0,0,0
21Day,0.37,0,0,0.74,0.74,0,0,0,0,0,0,0,0,7.4,0,0,0,0.37,0,0,5.92,0.37,0,0,0.37,0.37,0
3Month,0,0.21,0,0.42,0,0,0,0,0.62,0.21,0.42,0.21,0.31,0.62,0,0.1,0.1,0,0,0,0.1,0,0.83,0,0,0,0.21
22Month,0,0,0.14,0.27,0,0.27,0.41,0.27,4.1,0.14,0.82,0,0.14,0.55,0.14,0,0,0,0,0.14,0,0.14,0,0,0,0,0
