stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0.28,0.28,0.28,0,0,0,0.56,1.41,0,0.85,0,0,0,0,0
21Day,0.74,0,0,0,0,0,0,0.37,0,1.11,0,0.37,0,0.37,1.11,0,0,0,0.37,0.37,0,0
3Month,0,0.1,0.42,0.1,0,0.62,0.1,0,0,0,0,0.21,0.1,0,0,0,0,0.21,1.14,0,0.52,0.1
22Month,0,0,0.14,0,0.82,1.64,0,0,0.27,0.82,0.14,0.14,0,0,0,0.14,0,0,0,0,0,0.14
