stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0
72hpf,0.28,1.69,0,0.56,0,0,0,0,0,0,0,0,0.28,0,0,0.56,1.97,0,0,0.56,0,0,0,0
21Day,0,0.74,0,0.37,0,0,0,0,0,0,0,1.11,0,0,0,0.37,1.85,0,0.37,0,0,0,0,0
3Month,0,1.98,0.1,0.73,0,0,0,0.31,0.21,0,1.46,0.21,0.52,0.21,0.1,0,0.1,0.1,0,0,0.83,0.1,1.35,0.1
22Month,0,1.37,0,0.41,0.55,0.14,0.27,0.41,0,0.14,0.55,0.14,0.41,0,0,0,0,0,0,0,0,0,0,0.14
