stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Smooth_muscle_cell,Spermatocyte
24hpf,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0
72hpf,0,0,0,2.25,0.28,0,0,0,0,0,0,0,0.56,7.89,0,0.28,0.56,0.28,1.13,0.85,0,0,0
21Day,0,0,0,7.03,0,0,0,0,0,0,0,0,0,4.07,0,1.48,0.74,0.37,0,0.37,0.37,0,0
3Month,0,0.1,0,15.39,0,0.21,0.83,0,0.31,0.1,0.1,0.1,1.46,5.1,0,0.42,0.73,0.1,0,0,0.21,0.21,0.1
22Month,0,0,0.27,1.37,0,0,0,0.14,0.68,0,0,0,0.68,0.41,0,1.09,0.14,0,0,0,0,0,0
