stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0.28,0,0,2.82,1.41,0,0,0,0,0.28,0,0
21Day,0,0.37,0,0,0,0,0.37,0,0,0.37,2.96,5.92,0,0,1.11,0,0.37,0,0
3Month,0.1,0.1,0.1,0.1,0.52,0.21,0,0.1,0.1,0,0,0.1,0,0.1,0,0.21,0,0.52,0.1
22Month,0,0,0,0.27,0.82,0.27,0,0,0,0,0,0,0.14,0,0,0.14,0,0,0
