stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.56,0,0,0,0,0,0,0,0,0,0,0,0.28,0.56,0,1.97,0,0,0,5.92,3.38,0,1.13,0,0,0,0.28,0,0,0
21Day,0.37,0.74,0,2.22,0.37,0,0,0,0,0.74,0,0.37,0.37,0,1.48,0,1.48,0,0,0,3.33,1.85,0,0,0,0,0,0.37,0,0,0.74
3Month,0,1.04,0.1,0.94,0,0.1,0.42,0.1,0,2.39,0.52,0,0.73,0.31,0.31,0.1,0.62,0,0.1,0.1,0.1,0,0.31,0,0,0.31,0,0,0.21,0.21,0
22Month,0,0.14,0.14,0.96,0,0,0,0,0.55,6.42,0.14,0,0.68,0,0.41,0.27,0.41,0.27,0,0,0,0,0.14,0.14,0.14,0,0.14,0,0,0,0.14
