stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.56,4.51,0,2.54,0,0,0,0.28,5.36,2.82,0,0,0,0,0.28,0,0,0,0
21Day,0.37,0.37,0,6.66,0.37,0,0.37,0,0,0,0,2.96,0,0.37,3.33,0.74,2.59,0,0,0.37,0,2.96,1.48,0.37,0.74,1.11,0,0.74,0.74,0,0,0.37
3Month,0,0,0.1,3.22,0,0,0,4.68,0.42,0.94,0.31,0,1.98,0.21,0.62,0,0.21,0.42,0,0,0.52,0.73,0,0.83,0,0.42,0.94,0,0,0.21,2.39,0.31
22Month,0,0,0,0.41,0,0.14,0,0.96,1.23,1.91,0,0.14,0.14,0.14,0.27,1.78,2.19,0,0.14,0,0,0.27,0,0,0,0,0.14,0,0,0,0,1.5
