stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,2,20,0,0,0,0,0,1,0,0,0
72hpf,0.56,0.28,0,1.69,0.28,0.28,0,0,0,0,0,0,0,0,0.28,0.56,0,0.56,0,0,7.05,2.82,0.28,0.85,0.28,0.28,0.85,0,0,0,0
21Day,1.11,0,0,2.59,0,0.74,1.11,0,0,0,0,0,1.48,0.37,0,1.11,0.37,2.59,0,0,3.33,1.85,0,0.74,0.37,0.37,0.74,0,0,0,0
3Month,0,0.1,0.21,1.98,0,0,0.1,0.62,0,0,6.03,0.1,0.1,1.35,0.1,0.52,0.42,0.62,0,0.1,0.1,0,0.21,0.1,0.1,4.78,0,0,0.1,1.56,0.62
22Month,0,0.14,0.14,0.55,0,0,0,0.27,0.55,0,5.33,0.14,0.27,0.55,0,0,0.68,0.27,0.14,0,0.27,0,0.14,0,0,0.55,0,0,0,0,0.14
