stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0,2.25,0,0,0,0,14.66,5.07,0,0,0.56,0,0,0,0.28,0,0,0,0
21Day,1.11,0.37,0,2.59,1.48,0,0.74,0,0,0,0,0,1.11,0,0,1.11,0.74,1.85,0,0,0.37,0,5.18,2.22,0,0.37,0.74,0.74,0,0,0,0.37,0,0,0
3Month,0,0.73,0.31,7.18,0,0.1,0,1.35,1.46,0.1,5.41,1.35,0.31,3.33,0.73,2.39,1.56,2.29,0.31,0.1,0.73,0.52,0.62,0.1,1.14,0.1,0.1,0.21,0.1,1.04,0,0.1,1.14,0.62,1.46
22Month,0,0.55,0.14,1.09,0,0,0.27,0.55,2.32,0.68,4.37,0.14,0.14,4.24,0,0.41,0.68,1.09,0,0.27,0.41,0,0,0,0.27,0,0.14,0,0,0.96,0.14,0,0.14,0,0.14
