stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
72hpf,0,0,0.28,0,0,0,0.28
21Day,0,1.11,0,0,0.37,0.37,0
3Month,0,0,0,0.31,0,0,0
22Month,0.14,0,0,0.55,0,0,0
