stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulosa_cell,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,5,0,0,0,0,0,1,0,0,1,1,1,6,1,0,45,0,0,0,0,0,0,0,2,0,0,0
72hpf,0.28,0.56,0,0.28,0.28,0.28,0,0,0,0,0,0,0.56,0.56,0,1.13,0,4.79,1.69,0,0.28,0,0,1.69,0,0,0.28,0,0,0
21Day,1.11,0,0.37,4.07,0.74,0.37,0.74,0,0,0,0.74,0.37,0,1.85,0.74,5.18,0,2.96,1.48,0,0.74,0.74,0,1.48,0.37,0.37,0.37,0,0,0
3Month,0,0.31,0.1,1.77,0,0,0.1,0.21,0.1,0,1.98,1.25,0.62,0.83,0,1.04,0.42,0.62,0,0.31,0,0.1,2.91,0.1,0,0,0.1,0.21,3.74,0.21
22Month,0,0,0,0.14,0,0,0,0,0,0,0.96,0.27,0,0,0,0.14,0,0.14,0,0,0.14,0,0,0,0,0,0,0,0,0
