stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,1.85,0,0.37,0,0,0.37,0,1.85,0,0,0,0.37,0,0,0,0,0.37,0.37,0.37,0,0,0,0,0,0,0,0
3Month,0.1,0.83,4.16,0,6.66,0.42,31.83,0.52,38.07,0.42,0.31,0.42,0.62,0.1,0,6.14,2.91,0.21,0,1.77,0.1,1.04,0.1,0,0,0,0.42,0.31
22Month,0,0.55,1.23,0,2.46,0.14,74.88,0.27,21.18,0,0.14,0.27,0.55,0,0.96,2.87,0.14,0,0,1.09,0,0,0.14,0.14,0.14,0.14,0,0.14
