stage,Cardiomyocyte,Endothelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,1,0,0,0,0,1,0,0,0
72hpf,0.56,0.56,0,0.28,0,0.28,0,0,0.85,0,1.41,0.28,0
21Day,0.37,0,0,0,0,0.74,0,0,1.48,0.37,0.37,0,0
3Month,0,0,0.52,0,0,0,0.1,0.1,0,0,0,0,0.1
22Month,0,0,0.27,0,0,0.14,0,0,0,0,0,0,0
