stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
72hpf,0,0,0.28,0,0,0,0,0,0,0.85,0,0,1.13,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0.37,1.85,0,0.74,2.22,0,0,0,0
3Month,0.21,0.73,0,0.31,0.42,0.1,0.1,0.1,0.31,2.39,0.83,0,0,0.21,0.1,0.1,0.1
22Month,0,0,0,0.14,1.23,0,0.14,0,0,2.46,0,0,0,0,0,0,0
