stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,1,22,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,1.13,0,0,0,0,0,0,0.28,0.28,0,0,0.28,0,0,0,2.82,2.54,0.28,0,0,2.54,0,0,0,0
21Day,0,0,0,1.11,1.85,0,0,0,0.37,0,0.37,0,0.37,0.37,0,0,0,0,0,1.11,0.37,0,0,0,0,0.37,0,0,0
3Month,0,0.1,0.1,4.78,0.52,0.1,0.1,0.21,3.74,0.31,0,0.83,0.94,1.04,0.42,0.21,0.1,0.1,0.31,1.46,0.1,0,0.31,1.14,0.1,0.21,0.21,37.65,0.1
22Month,0.14,0,0,1.23,0.14,0,0,1.64,5.88,0.14,0,0.41,0,0,0.55,0.14,0.14,0,0,0.55,0,0,0,0.41,0,0,0,0,0
