stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.56,0,1.41,0,0,0,0.56,0,0,0.56,0,0,0
21Day,0.37,0,0.37,1.85,0.37,0,0,0,0,0,1.11,0,1.48,0,0,0,2.59,0,0,0,0,0.74,0.37,0,0,1.11,2.59,0,0
3Month,0,0.1,0.21,1.14,0,0,0.1,0,0.1,0,19.35,0.21,2.18,0,0.31,0.1,2.91,0.42,0,0.1,0.21,0,0,0.62,0,0,0.21,2.08,0.42
22Month,0,0.14,0.14,1.09,0,0.14,0.14,0.27,0.14,0,66.41,0.14,3.69,0.14,0.14,0.14,2.32,0,2.19,0.14,0,0.14,0,0.82,0.14,0,0,0,0
