stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,1,5,1,0,0,0,0,0,0,0,0,1,6,0,0,0,42,0,0,0,0,0,0,0,0
72hpf,0.56,0,0.85,0,0.56,0,0.28,0,0,0,0.28,0.85,0,1.69,0,0.28,18.88,6.2,0,1.13,0,0.56,0,0,0,0
21Day,0.74,0,1.48,0,1.48,1.11,0,0,0,1.85,1.48,1.85,0.74,2.22,0.37,0,5.92,2.59,0.37,0.37,0.37,0.74,0.37,0.37,0,1.11
3Month,0,0,1.35,0,0,0,0.1,0.21,0.31,0.1,0,0.21,0,0.31,0,0,0,0,0,0,0.1,0,0,0,0.1,0.21
22Month,0,0,0.41,0,0,0,0,1.37,0,0.14,0,0,0.14,0.14,0,0,0,0,0,0,0,0,0.14,0,0,0
