stage,Epithelial_cell,Keratinocyte,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
72hpf,0,1.13,0.28,0,0,0
21Day,0,0,0,0.37,0,0
3Month,0.31,0,0,0,0.21,0.94
