stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0.28,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0,0,1.85,0,0,0,1.11
3Month,0.42,1.46,0.1,0.73,1.14,2.5,1.35,0.1,0.73,0.21,0.52,1.46,0.94,0.21,0,0.31,0.31,0.1,0,0.21,1.14,122.74,0,0.83,22.16,1.56
22Month,0.41,0.27,0,0,0.27,1.78,0.14,0,0.27,0,0.14,0.41,1.64,0,0,0,0,0,1.91,0.14,0,15.44,0,0,0,0.55
