stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,3,0,0,4,0,1,2,57,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.28,0,0,0,0,0,0,0,0.28,0,1.13,0,0,32.41,6.48,0,0,0.28,0,0,0.56,0.28,0,0,0,0
21Day,0.74,0,0.37,1.11,0.37,0,0.37,0,0.37,0.74,0,1.11,0,4.81,0.74,0,32.93,7.4,0,0,0.74,1.48,0.74,1.85,0.74,0.74,0,0,0.37
3Month,0.21,0.21,1.77,0,0,0.31,1.04,0.62,0.1,0.31,0.73,0,0.42,1.04,0.31,0.1,1.14,0,0.31,0,0,0.1,24.44,0.52,0.1,0,0.1,18.62,0.1
22Month,0,0,0.41,0,0,0,0.27,0,0,0,0,0,0,0,0.14,0,0.14,0.14,0.14,0.14,0,0,3.55,0.14,0.27,0,0,0,0
