stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,3.38,0.28,0,0,0,0,0,0,0,0,5.07,0.85,0,0,0,0,0,2.82,0,0,0.56,0,0,0,0,0,0,0,0
21Day,0,0,0,6.66,1.85,0,1.11,0,3.7,1.11,4.81,22.57,1.11,2.96,10.73,1.85,0,0,0.74,0,2.22,1.48,0,0.74,3.33,0,0,0.37,0.74,0,0,22.2
3Month,0.21,0.31,0.21,6.76,0,0.52,0.1,0.52,23.72,12.59,53.26,2.29,7.91,3.54,11.86,1.04,0.1,0,0.52,0.42,0.1,0,0.31,0.1,1.35,0.1,2.39,0,0,1.04,10.82,33.6
22Month,0,0.14,0.27,2.32,0,0.55,0,0.14,21.18,15.85,15.58,3.01,4.78,0.55,7.79,0.82,0,0.41,0,0,0,0.14,0,0,0.27,0,0.41,0,0,0.14,0,13.25
