stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,1.41,0.28,0,0,0.28,0,0,0,0,0,0,0,0
21Day,5.55,0.37,0.74,10.36,8.88,2.96,0.37,0.37,2.22,129.5,2.22,0.74,8.14,6.29,11.1,1.48,0.37,18.5,6.29,1.11,1.11,4.44,5.55,0.37,1.11,0.74,1.48,0.37,0.37,4.44
3Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0.1,0,0.1,0,0,0,0,0,0.21,0,0,0,0,0,0.31
22Month,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0.27
