stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mt_rich_cell,Spermatocyte
3Month,0.1,1.35,0.21,0.1,0,0.1
22Month,0,0.55,0,0,0.14,0
