stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0.56,0.56,0,1.41,0,0,0,0,0,0,0,0,0,0,0,1.69,0.28,2.54,0,0,0,9.02,21.98,0.28,0,1.41,0,0,76.66,0.28,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0.37,1.85,18.87,0,0,0,1.11,6.29,0,0,1.48,0.74,0,14.8,0,0.37,0.37,0,0,0.37
3Month,0,0.31,0.62,0.1,0,0.21,0,0.1,0.21,0.52,0,0.94,0.21,0,0.73,0.31,0.31,0.42,30.16,0.94,0.62,0.1,0,0,0,0.1,0,0.1,0.52,0.21,0,0,0,0.42,0.21,0.52
22Month,0,0.96,0.82,0,0,0,0.14,0,0,0.27,0.14,2.87,0.14,0.14,0.68,0,0.14,0.27,20.77,0,0,0.14,0.14,0,0,0,0,0.27,0.55,0.14,0,0,0,0,0,0.14
