stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0
72hpf,0,0,0.28,0.28,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0.85,1.13,0,0,0,0,0,0,0
21Day,0,1.11,0,1.85,0,0,0.74,0,0.74,0,0,0.37,0.37,0.37,0,0,0,1.48,0,0.37,0,0.37,0,0.37,0,0
3Month,0.21,0.83,0,0,0.42,0.62,6.24,1.14,0.1,2.81,0.1,0.21,0.21,0.31,0.42,0.52,0.1,0,0.1,0.31,0,0.1,0.1,0,0.1,0.21
22Month,0.14,0.14,0,0,0.55,0.82,5.74,0.27,0,0.82,0,0.14,0,0,0,0,0,0.27,0,0.14,0.14,0,0.14,0,0,0
