stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,1.69,0,0,0.28,0,0,0,0,0,0,0,0.85,0.56,2.82,0,0.28,0,0,1.13,1.69,0,7.61,0,0,1.13,0,0,0,0
21Day,1.48,0,1.11,0.74,0.74,0,0,0,0,0,0,0.37,0,0.37,0.74,4.44,0,0,0.37,0,0,0.74,0,3.7,0,0,0.37,0,0,0,0
3Month,0.1,0,0.94,0,0,0.1,0.42,0.21,0,0.83,0.1,0.21,0.1,0.31,1.35,1.87,0.42,0,0.21,0.1,0.1,0,0,0.1,0.1,0.21,0.1,0.1,0.1,0.1,0.42
22Month,0,0,0.14,0,0,0,0,0.55,0.41,1.78,0.55,0,0,0.14,0.27,0.82,0,0,0.14,0,0,0,0.14,0,0,0,0,0,0,0,0
