stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,2,51,0,2,0,0,0,0,0,0
72hpf,0.28,0.85,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0.56,0,0,1.13,0,0,0,0,1.97,4.79,0,1.13,0,0,0.56,0,0,0
21Day,1.85,0,0,4.81,0,0,0,1.48,0,0,0,0.37,0,2.59,0,0.37,0.74,0,3.7,0,0,0.74,0,2.22,5.18,0,3.7,0.37,0,0.37,0,0,1.11
3Month,0,0.1,0.1,1.14,0,0,0,0,0,0.21,0,1.87,0.31,0.21,0.31,0.1,0.1,0.52,0.21,0.21,0,0.1,0.21,0,0.1,0.1,0,0,0.42,0,0,0.42,0.83
22Month,0,0.14,0,0.55,0,0,0.14,0,0.14,0.55,0.82,11.07,0.14,0.55,0.14,0,0.14,0.27,0.27,0,0.27,0,0,0,0,0,0,0,0,0,0.14,0,0.55
