stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0
21Day,0,0,0,2.22,0,0,0,0,0,0,0,0,0,0.37,0,0.74,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0
3Month,0,0.1,0.62,0.52,0,0.21,0.21,0,3.02,0.52,0,0.83,0.1,0.42,0.1,0.42,0,0.42,0.1,0.1,0,0.1,0.1,0.31,2.08,0,0,0,0.1,6.45,0.62
22Month,0.14,0,0.68,0.27,0.14,0,1.37,0.41,11.48,0.96,0.14,0.96,0.14,0.14,0.82,0.68,0.14,0.27,0,0.14,0.14,0,0.14,0.14,1.37,0.14,0,0.14,0,0,0.14
