stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
21Day,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37
3Month,1.14,0,0,0.73,0.21,0.1,0.31,0.31,0.21,0.1,0.21,0.1,0.1,0,0.1,0.1,0.31
22Month,0,0.14,0.14,2.05,0,0.14,0.82,0,0,0.14,0.14,0,0.27,0.14,0,0,0.41
