stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,22,0,0,0,0,0,0,0,0,0,0
72hpf,2.54,1.13,2.25,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0.85,1.69,2.25,0,0.85,0.56,0,1.69,0,0,0,0,0
21Day,1.48,2.96,1.85,0,0,0,0.37,0,0.37,0,0,0.37,0.37,0.37,0,0,0.37,1.48,1.11,0,0,6.29,0,1.11,0.37,0.37,0,0,0
3Month,4.99,0.21,0,0.1,0.1,0.31,0.31,0.1,0,0.31,1.46,0.1,0.42,0.62,0.1,0,0.31,0.42,0,0.1,0,0.21,0.94,0,0,0.1,0.1,9.26,0.1
22Month,7.65,0.14,0,0,0,0,1.78,0.14,0,0.14,0,0,0,0.41,0.14,0.27,0,0,0,0,0,0,1.64,0.14,0,0,0,0.27,0.14
