stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0.28,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0,0
3Month,0,0.1,0.83,4.68,0.21,1.66,6.76,2.6,1.56,0.52,0.62,0.62,1.66,0.1,0,0.21,0.31,0.31,0.1,0.31,0.1,0,0.31,6.55,0.52,21.43,1.25
22Month,0,0.14,0,0.27,0.27,0.14,7.65,0,0.27,0,0,0.14,0.14,0,0.14,0,0,0,0,0.14,0,0,0,4.92,0,0,0
