stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0.37,0.37,0.37,0,0.37,0.74,25.9,0.37,0,0,0.37,0.37,0.37,0,0.37,0,0,0
3Month,0.21,0.1,0.94,0.1,0.31,1.25,0.42,0.1,0.62,0,0.21,73.12,0.21,0.1,4.06,0,0,0.21,0.31,0,0.1,0.1,0.62
22Month,0,0,0.14,0,0.27,0.41,0.14,0,0.14,0,0,8.2,0,0,0.14,0,0,0,0.96,0,0,0,0.55
