stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
72hpf,0.28,0.28,0.28,0,0,0,0,0,0,0,0.85,0,0.56,0,26.49,0.56,0,0.28,0,0.28,0.28,0.28,0
21Day,0.37,0,1.11,1.85,0.37,0,0,0.37,0.37,0.37,0,0,2.59,0,26.27,0.74,0.37,0.37,0.37,0,0.37,0,0.37
3Month,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0
22Month,0,0,0,0,0,0.14,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0
