stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,2,0,9,1,0,0,0,0,0,0,0,0,0,2,0,1,19,0,0,0,0,1,119,0,0,0,1,0,0,0,0,0,0,0
72hpf,1.13,2.82,0,2.25,0.28,0.28,0,0,0,0,0,0,0,0,0,1.13,0,31.57,0,0,0,0,23.39,12.97,0,0,0,26.21,0,0,5.92,0.28,0,0,0
21Day,0.37,0,0.37,2.22,0,1.11,0,0,0,0,0,0,0,0,0,1.11,0,30.34,0,0,0.74,0,2.22,9.25,0,0,0,17.02,1.11,0,0.37,0.37,0,0,0.37
3Month,0.1,1.25,0.21,0.52,0,0,0,0.1,0.52,0,0.83,0.52,0,0.52,0.21,0.1,0,1.04,0.1,0,0,0.1,0.1,0,0.1,0,0,0.31,0.1,0.31,0,0,0.31,0.21,0.21
22Month,0,1.09,0,1.23,0,0,0.14,0.14,0.96,0.41,8.75,0.41,0.14,0.82,0.14,0,0.27,1.91,0,0.41,0,0,0.14,0,0.55,0.27,0.27,0.55,0,0.14,0,0,0.14,0,0.27
