stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,1.48,0,0,2.22,0,0,0,0.74,0,0,0,0.37,0.37,0,0,0.37,0,0,0,0,0,0
3Month,0.1,0.21,1.56,8.01,0.42,3.43,0.94,0,121.7,0.73,0.1,88.93,0.31,0.62,0.52,1.46,0.42,0.94,0.73,0.42,2.29,0.42,0,2.08,1.25,0,0.1,0.52,0.94,0.42
22Month,0.14,0,0.68,2.05,0.41,1.37,0.68,0.41,88.28,0.27,0,77.48,0,0.27,0.41,1.23,1.37,0.41,0.14,0,1.5,0.27,0.14,0.14,0.41,0,0,0,0,0.68
