stage,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Oligodendrocyte,Pancreatic_cell,Radial_glia
3Month,0.1,0.42,0.52,0.1,0.1,1.66,0,0,0,0,0
22Month,0,0.41,0.27,0.27,0,3.83,0.14,0.14,0.14,0.27,0.14
