stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,2,0,11,1,0,0,0,0,0,0,1,0,0,1,0,0,1,6,21,0,0,0,3,165,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.85,1.69,0,2.25,0.28,0.56,0,0,0,0,0,0,0.56,0,0.28,0,1.13,2.25,0,6.76,0,0.28,0,26.49,31,0.85,0.28,5.07,0,0,4.79,0,0.28,0,0,0
21Day,3.33,1.11,0,7.77,0.37,1.85,0,1.11,0,0.37,0,0,0,0,3.33,0.74,0.74,1.85,0.37,5.92,0,0,0.37,9.25,9.99,0,0,5.18,2.59,0,1.48,0.37,0.37,0,0,1.11
3Month,0,0.31,0.21,8.63,0.21,0,0,0.21,0.42,1.35,0,0,5.51,0.21,0.21,2.5,0.31,1.98,1.66,1.77,0.31,0,0.21,0.42,0.1,0.42,0,0.21,0.21,5.72,0.1,0,0,0.73,1.98,1.35
22Month,0.14,1.09,0.55,3.42,0,0,0.14,0,0.14,1.91,1.64,0,10.52,0.96,0.82,2.32,0.14,0.55,1.37,1.5,0,0.41,0,0.14,0,0.27,0.27,0,0,1.09,0.27,0,0,0.41,0,0.68
