stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Muscle_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
3Month,0,0.1,0.52,0.1,0.42,0.52,0.21,0.1,0.1,0.1,0.1,0.1,4.99,0,3.64,0.21
22Month,0.14,0,0.14,0,3.83,0,0.41,0.14,0,0,0,0,1.64,0.14,0,0
