stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,7,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,1.13,0.56,0,0,0,0,0,0,0,0,0.56,1.97,0,1.97,0,0,0.28,23.39,6.76,0,0,1.97,0,0,0.85,0.28,0,0,0
21Day,0.74,0,0,8.51,0,0,0.74,0,0,0.37,0,0.37,0.37,0.37,4.44,0.37,4.07,0,0.74,0,6.29,1.11,0,0,0.37,0.37,0,0.37,0,0.37,0,0.74
3Month,0.1,0.73,0.21,6.35,0,0.1,0,0.83,0.94,3.85,0.83,0.31,3.33,0.31,3.64,2.29,1.25,0.21,0.21,0.21,0.21,0.1,0.31,0,0.1,0.1,0.21,0,0,1.04,0.1,1.14
22Month,0,0.96,0.14,1.09,0,0,0,0.27,0.82,1.91,0,0.14,0.14,0.14,0,0.14,0.55,0,0.27,0,0.14,0,0,0.14,0,0,0,0,0,0,0,0.14
