stage,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0.85,0.28,0,0.56,0,9.02,0.56,0.56,0,0.28,0,0,0
21Day,0,0.37,0,0,0,0,0,0,0,0.74,0,0,5.18,0,0,0,0.74,0.37,0,0
3Month,0.1,0,0.1,0.1,0,0.42,0,0,0.21,0,0,0,0.21,0,0,0.62,0,0,0.73,0.1
22Month,0,0,0.14,0,0.14,1.09,0.14,0.14,0.14,0.14,0,0.14,0,0,0,0,0,0,0,0
