stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,2,0,0,0,0
72hpf,0,0,0,0,0,0,0.28,0,1.13,0,0.56,0,0,0
21Day,0,1.48,0,0,0,0,0,0,0.37,0.74,0.37,0.37,0,0
3Month,0,0.1,0,0.21,0,0,0.1,0,0,0,0,0,0,0
22Month,0.27,0.14,0.14,1.78,0.55,0.14,0.14,0.27,0,0,0,0,0.14,0.27
