stage,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,0,0,1
72hpf,0,0,0,0,0,0,0.56,0.56
21Day,0,0.37,0,0,0,0.74,0.37,0
3Month,0.21,0,0.1,0.1,0.1,0.1,0,0
