stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0.56,0,0,0,1.13,0.28,0,3.38,0,0,0,0
21Day,0,0.37,0,0.37,0,0,0,0,0.37,0,0,0,0.37,0,2.22,0,0,0,0.37,0,0,6.29,0,0,0,0.74
3Month,1.56,0.21,0.1,0,0.1,0.21,0.1,0,0.52,0,0,0.1,0.1,0.21,8.43,3.54,0.52,0.1,0.21,0,0.21,0.21,0.31,0.31,0.83,0.21
22Month,0.82,0,0,0,0.27,0,0,0.14,0.68,0.14,0.41,0,0,0,3.83,0.68,0.41,0,0,0,0,0.14,0.68,0.27,0.14,0
