stage,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0.28,7.33,0,0,1.41,0.85,0.28,2.54,0,0.56,0.56,0,0,0
21Day,0,0,0,0,0,0,0,0,0.74,0,0.37,0.37,0,0.37,0,0,0,0,0,0,0
3Month,0.1,0.1,0.21,0.1,0,0,0.1,0,0.1,0,0,0,0,0.1,0,0.42,0,0,0.21,0.1,0.1
22Month,0,0,1.37,0,0.14,0.14,0,0,0.27,0.14,0.14,0,0,0.14,0,1.09,0,0,0,0,0.14
