stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Muscle_cell,Primordial_germ_cell,Spermatocyte
3Month,0.21,0,0,0.1,0.21,0.1,0.83,0.1,0.1,0.31
22Month,0,0.14,0.14,0,0.41,0,0,0.14,0,0
