stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0,0.56,0,0.56,0,5.07,1.69,0,0,0,0,0,0,0,0,0,0
21Day,1.11,0,0.37,1.11,1.11,0,0,0,0,0,2.96,0.37,0.37,0,0.74,1.11,0,8.51,1.11,0,0.37,0.74,0,0,0.37,0.37,0,0,2.96
3Month,0,0.1,0,0.73,0,0.1,0.1,0.21,1.56,0.1,0.31,0.1,0.1,0.42,0.31,0.42,0.21,0,0,0,0,0.1,0.1,0,0,0,0,0.1,5.72
22Month,0,0,0,0.27,0,0.14,0,0,2.19,0,0,0.27,0,0,0.27,0.55,0,0,0.14,0.27,0,0,0,0.14,0,0,0.14,0,0.82
