stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0.28,1.13,0,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0.37,0,0,0.37,0,0,0.37
3Month,0,0.1,0.31,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0,0.1,0.52,0.1
