stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0,1.13,0.28,0.28,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0.74,4.81,0,0,0,0.37,0.74,0,0,0,0,0
3Month,0.42,0.52,0.1,0,0.1,0.1,0.73,0.21,0.42,0.21,0.21,2.7,0.1,0.1,0.1,0,0,0,8.11,0.1,2.91,0.1
22Month,0,0,0,0,0.27,0,0.14,0,0.14,0,0,0.14,0,0,0,0,0,0,3.96,0,0,0
