stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Radial_glia,Retinal_cell,T_cell
72hpf,0.28,0,0,0,0,0.28,0,3.38,1.13,0.28,0,0.28,0,0
21Day,0,0.74,0,0,0.37,1.11,0,4.44,0,0,0.37,0,0.37,0
3Month,0.21,0,0,0,0,0,0,0.1,0,0,0,0,0,0.31
22Month,0,0,0.14,0.27,0,0,0.27,0,0,0,0,0,0,0.14
