stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
72hpf,0.56,0,0,0.28,0,0,0,0.85,0,0.85,0,52.71,2.82,0.28,0,0,0,0
21Day,0.74,0,0,0.37,0,0,0.37,0,0,0.74,0,27.75,0.74,0,0.37,0.74,0,0.37
3Month,0,0.1,0.1,0,0,0.42,0,0,0,0.1,0.1,0,0,0.1,0,0,0.1,0.1
22Month,0,0,0,0,0.14,0.27,0,0,0.14,0,0,0,0,0,0,0.14,0,0
