stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.28,0,0.28,0.85,0,0,0,0,0,0,0,0,0.85,1.41,0.56,1.69,0,0,0,0,43.97,2.25,0.56,0.56,1.41,0,0,0,0.28,0,0,0,0
21Day,0.74,0,0,1.85,1.48,0.37,0,0,0,0,0.37,1.11,0.37,0.37,0.37,1.11,2.22,0,0,0,0,32.19,2.59,0.37,0,1.48,1.11,0,0,0.37,0.37,0,0,0.37
3Month,0.1,0.1,0.1,1.35,0,0,0.21,0.94,0.1,8.95,0.31,0.1,1.04,0.1,0.21,0.62,0.83,0.1,0,0.31,0.42,0.21,0,0.1,0,0,0.62,0.94,0,0,0,0.42,0.1,0.21
22Month,0,0.41,0.41,0.82,0,0,0.27,0.96,0.55,21.32,0.27,0.41,3.14,0,0.14,0.41,1.23,0,1.5,0.55,0.14,0.27,0,0.14,0.41,0,0.14,0.96,0.14,0,0,0.14,0,0.41
