stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,269,0,0,11,1,0,0,0,0,0,1,0,0,0,0,0,0,3,17,0,0,0,0,1,121,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,186.02,0.28,0,3.1,0,2.25,0,0,0,0,0,0,0,0,0,1.41,2.25,0.28,23.68,0,0.28,0,0,18.6,11.27,0,0,3.38,0,0.28,2.25,0,0.28,0.28,0,0,0
21Day,337.8,0,0,5.92,0.74,8.14,0,0.74,0,0,0,0.37,0,1.85,0.74,0.37,2.96,0.37,40.33,0,0,2.59,0,14.06,6.29,0,1.11,4.44,4.81,0,1.11,1.11,2.59,0,0,0,0.74
3Month,2.08,0.62,0,1.56,0,0,0,0,0.1,0.31,0,2.6,0.42,0,0.52,0.1,0.42,0.1,0.94,0.31,0,0.42,0,0.52,0,0.21,0.62,0.1,0.1,2.7,0,0,0,0,0.1,0.62,0.62
22Month,0.27,0.14,0.14,0.41,0.14,0,0.14,0.27,0.14,0.14,0,4.92,0,0,0.68,0,0,0.27,1.37,0,0.14,0.14,0.14,0,0,0.14,1.09,0.14,0,3.14,0,0,0,0,0,0,0
