stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.85,0,1.13,0.28,0,0,0.28,0,0
21Day,0.37,0,0,0.74,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0,0,0
3Month,0,0.1,0.1,0.42,0,1.25,0.21,0.1,0.1,0.31,0.21,0,0,0,0,0.1,0.73,0,0.21,0.1
22Month,0,0.14,0,0,0.14,1.09,0,0,0.27,0,0,0.14,0.14,0,0,0,0,0,0,0.14
