stage,Endothelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,4,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.85,0.85,0,0,0,0
3Month,0.1,0.1,0,0.1,0,0.1,0,0.1,0,0,0,0,0.21,0.21
22Month,0,0.14,0.14,0.82,0.14,0,0.41,0.14,0,0,0.14,0.14,0,0
