stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,3,0,0,0,0,0,0,0,0
72hpf,2.25,0.28,0,1.41,0,3.38,0.28,0,0,0,0,0,0.56,0,1.41,4.79,0.28,6.76,0,0.28,0.28,350.62,20.57,0.28,0.28,7.61,0,8.74,0,0.28,0
21Day,2.22,0.37,0,2.59,0.37,3.33,0.74,0,0,0,0.37,0.37,0.74,0,0.37,0.74,0,3.33,0,0,0.74,70.3,2.22,0.74,0,1.11,0,1.11,1.11,0.74,0.74
3Month,0,0,0,0.1,0,0,0,0,0,0,0.62,0,0,0.1,0,0.1,0.21,0.1,0.1,0,0,0.73,0.1,0,0,0,0.21,0.1,0,0,0.1
22Month,0.14,0,0.14,0.14,0,0,0,0.14,0.14,9.16,3.42,0,0,0.27,0.14,0,0.41,0.41,0,0.27,0,2.19,0,0.27,0,0.14,1.5,0.82,0,0,0
