stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0.28,0,0,0,0.28,0,0,0.28,0.28,0,0,0,0,0,1.13,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0,0,0.37,3.7,0,0
3Month,0.21,0.1,1.04,0.21,0,2.91,0.21,0.62,0.21,0.1,0.31,0.21,0,0.1,24.44,0.42,0.1,0.1,0,0.21,0.42,0.1,1.87,0.1,0.21
22Month,0.14,0,2.05,0,0.14,2.05,0,0.27,0,0,0.68,0,0.14,0,0,0,0,0,0.14,0,1.23,0,0.14,0,0
