stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,3.1,0.28,0.56,0,0,0,0,0,0,0,0.28,16.35,0.28,2.54,0,0,14.37,1.69,0,0.28,7.33,0,0,0.28,2.54,1.41,0.28,0,0,0
21Day,0.37,0,27.38,0,0.74,0,0,0,0.37,0,0,0,0.37,8.14,0,5.18,0,0.74,7.4,0.37,0,0,5.55,1.11,0,0.37,10.36,50.32,0,0,0,0
3Month,0,0,1.25,0.21,0,0.1,0.21,0,1.14,0.1,0.1,1.66,0.1,0.83,0.21,3.33,1.46,0.1,0.1,0,0.42,0,0.21,0.31,4.78,0,0.21,0,0.1,0,2.39,0
22Month,0,0.14,0.68,0,0,0.14,0.14,0.14,2.05,0,0,0,0,0,0.27,1.64,0,0,0.41,0,0.14,0,0.55,0,4.24,0.27,1.78,0,0.14,0.14,0,0.14
