stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.28,0,0.28,0,0,0,0,0.28,0,0,0
21Day,0,0,0,1.85,0,0,0,0,0,0,0,0.74,0,0.37,0.37,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.21,0,1.14,19.45,0,0.1,4.89,1.35,0,1.77,1.87,1.77,12.07,1.14,3.74,6.35,1.25,0.1,0,0,0.31,0.21,0,0.31,0.1,0.42,1.87,0,0.62,1.25,13.11
22Month,0,1.37,0.96,6.15,0.27,0.14,3.96,1.23,0.41,4.51,1.5,1.91,13.39,0.41,0.41,6.56,1.09,0.14,0.27,0.14,0.14,0,0,0.27,0,0.14,0.96,0,0.68,0,9.43
