stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,3,17,0,0,0,1,0,0,0,0,0,0,0
72hpf,0.85,0.28,0,4.23,0,0,0,0,0,0,0,0,0,0,1.13,5.36,0.28,1.13,0,0.85,0,0,1.41,3.1,0,0,0,1.69,0,0,0.85,0,0,0,0
21Day,2.22,0,0.37,11.47,0.37,0,0,0,0,0,0.37,0,2.22,0.74,0.74,6.29,1.85,8.51,0,0,1.11,0,1.48,1.85,0,0,0,1.48,0,0,1.48,0.74,0,0,1.11
3Month,0.1,0.52,0.62,19.45,0,0.1,0.31,2.81,2.18,0,7.39,1.77,0.42,12.17,0.42,20.39,2.39,2.6,0.52,0,0.52,0.31,0.21,0.1,0.62,0.21,0,0,0.62,5.2,0.1,0,1.56,1.14,3.12
22Month,0,0.68,0.41,5.33,0,0,0.14,1.64,0.96,0.96,19.13,0.55,0.55,12.44,0,3.55,0.96,2.46,0,0.41,0.68,0,0.27,0,0.14,0.27,0.14,0,0.14,1.64,0,0,0,0,1.37
