stage,Cardiomyocyte,Erythroid_progenitor_cell,Ionocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia,Retinal_cell,T_cell
24hpf,0,0,0,1,0,0,1,0,0,0,0,0
72hpf,0.28,0.28,0.28,0,0,3.66,1.41,0,0.28,0.28,0,0
21Day,0.37,0,0,0.37,0.37,2.59,2.22,0.37,0.37,0.37,0.37,0.37
